TeamName,Conference,Wins,Losses,WinPct,Season,MadePlayoffs
Cavaliers,East,61,21,0.744,2009-10,1
Lakers,West,57,25,0.695,2009-10,1
Mavericks,West,55,27,0.671,2009-10,1
Magic,East,59,23,0.72,2009-10,1
Hawks,East,53,29,0.646,2009-10,1
Suns,West,54,28,0.659,2009-10,1
Celtics,East,50,32,0.61,2009-10,1
Nuggets,West,53,29,0.646,2009-10,1
Heat,East,47,35,0.573,2009-10,1
Jazz,West,53,29,0.646,2009-10,1
Bucks,East,46,36,0.561,2009-10,1
Trail Blazers,West,50,32,0.61,2009-10,1
Spurs,West,50,32,0.61,2009-10,1
Bobcats,East,44,38,0.537,2009-10,1
Bulls,East,41,41,0.5,2009-10,1
Thunder,West,50,32,0.61,2009-10,1
Rockets,West,42,40,0.512,2009-10,0
Raptors,East,40,42,0.488,2009-10,0
Pacers,East,32,50,0.39,2009-10,0
Grizzlies,West,40,42,0.488,2009-10,0
Hornets,West,37,45,0.451,2009-10,0
Knicks,East,29,53,0.354,2009-10,0
Clippers,West,29,53,0.354,2009-10,0
Pistons,East,27,55,0.329,2009-10,0
Warriors,West,26,56,0.317,2009-10,0
76ers,East,27,55,0.329,2009-10,0
Kings,West,25,57,0.305,2009-10,0
Wizards,East,26,56,0.317,2009-10,0
Timberwolves,West,15,67,0.183,2009-10,0
Nets,East,12,70,0.146,2009-10,0
